Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,85.00,97.00,81.00,95.00,28321500,95.00
2017-01-31,85.00,89.00,69.00,85.00,27420000,85.00
2017-01-30,74.00,77.00,60.00,69.00,3536500,69.00
2017-01-27,72.00,86.00,72.00,74.00,29922200,74.00
2017-01-26,50.00,67.00,50.00,67.00,7776400,67.00
2017-01-25,50.00,52.00,50.00,50.00,767000,50.00
2017-01-24,50.00,51.00,50.00,50.00,223200,50.00
2017-01-23,51.00,51.00,50.00,51.00,7400,51.00
2017-01-20,50.00,51.00,50.00,51.00,102000,51.00
2017-01-19,50.00,50.00,50.00,50.00,31100,50.00
2017-01-18,50.00,50.00,50.00,50.00,5000,50.00
2017-01-17,50.00,50.00,50.00,50.00,200,50.00
2017-01-16,50.00,50.00,50.00,50.00,200,50.00
2017-01-13,51.00,51.00,50.00,50.00,4300,50.00
2017-01-12,50.00,50.00,50.00,50.00,2000,50.00
2017-01-11,50.00,50.00,50.00,50.00,125400,50.00
2017-01-10,50.00,50.00,50.00,50.00,1000,50.00
2017-01-09,50.00,50.00,50.00,50.00,51400,50.00
2017-01-06,50.00,50.00,50.00,50.00,1000,50.00
2017-01-05,50.00,50.00,50.00,50.00,2100,50.00
2017-01-04,50.00,50.00,50.00,50.00,000,50.00
2017-01-03,50.00,50.00,50.00,50.00,2200,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,50.00,50.00,50.00,100,50.00
2016-12-29,50.00,50.00,50.00,50.00,300,50.00
2016-12-28,50.00,50.00,50.00,50.00,200,50.00
2016-12-27,51.00,51.00,50.00,50.00,2600,50.00
2016-12-26,50.00,50.00,50.00,50.00,000,50.00
2016-12-23,50.00,50.00,50.00,50.00,000,50.00
2016-12-22,50.00,51.00,50.00,50.00,1500,50.00
2016-12-21,50.00,50.00,50.00,50.00,4600,50.00
2016-12-20,50.00,50.00,50.00,50.00,500,50.00
2016-12-19,51.00,51.00,50.00,50.00,17000,50.00
2016-12-16,51.00,51.00,50.00,50.00,4000,50.00
2016-12-15,50.00,51.00,50.00,51.00,10000,51.00
2016-12-14,50.00,51.00,50.00,50.00,27800,50.00
2016-12-13,50.00,50.00,50.00,50.00,600,50.00
2016-12-12,50.00,50.00,50.00,50.00,000,50.00
2016-12-09,50.00,51.00,50.00,50.00,16700,50.00
2016-12-08,50.00,51.00,50.00,51.00,18100,51.00
2016-12-07,51.00,51.00,50.00,50.00,97700,50.00
2016-12-06,51.00,51.00,50.00,51.00,198100,51.00
2016-12-05,51.00,51.00,50.00,51.00,135500,51.00
2016-12-02,51.00,52.00,50.00,50.00,460100,50.00
2016-12-01,51.00,51.00,50.00,50.00,60800,50.00
2016-11-30,51.00,52.00,50.00,51.00,119900,51.00
2016-11-29,50.00,51.00,50.00,50.00,41900,50.00
2016-11-28,50.00,53.00,50.00,51.00,1233700,51.00
2016-11-25,50.00,50.00,50.00,50.00,13500,50.00
2016-11-24,50.00,50.00,50.00,50.00,5000,50.00
2016-11-23,50.00,50.00,50.00,50.00,000,50.00
2016-11-22,50.00,50.00,50.00,50.00,3200,50.00
2016-11-21,50.00,50.00,50.00,50.00,1800,50.00
2016-11-18,50.00,50.00,50.00,50.00,700,50.00
2016-11-17,50.00,50.00,50.00,50.00,700,50.00
2016-11-16,50.00,50.00,50.00,50.00,1700,50.00
2016-11-15,50.00,50.00,50.00,50.00,5100,50.00
2016-11-14,50.00,50.00,50.00,50.00,1000,50.00
2016-11-11,50.00,50.00,50.00,50.00,5700,50.00
2016-11-10,50.00,50.00,50.00,50.00,4000,50.00
2016-11-09,50.00,50.00,50.00,50.00,6000,50.00
2016-11-08,50.00,50.00,50.00,50.00,4000,50.00
2016-11-07,50.00,50.00,50.00,50.00,7600,50.00
2016-11-04,50.00,50.00,50.00,50.00,2500,50.00
2016-11-03,50.00,50.00,50.00,50.00,1100,50.00
2016-11-02,50.00,50.00,50.00,50.00,500,50.00
2016-11-01,50.00,51.00,50.00,50.00,222500,50.00
2016-10-31,50.00,50.00,50.00,50.00,10100,50.00
2016-10-28,50.00,50.00,50.00,50.00,23100,50.00
2016-10-27,50.00,51.00,50.00,50.00,30600,50.00
2016-10-26,50.00,51.00,50.00,51.00,46200,51.00
2016-10-25,50.00,51.00,50.00,51.00,11500,51.00
2016-10-24,50.00,51.00,50.00,50.00,74800,50.00
2016-10-21,51.00,51.00,50.00,50.00,6700,50.00
2016-10-20,51.00,51.00,50.00,51.00,7700,51.00
2016-10-19,51.00,51.00,50.00,50.00,30200,50.00
2016-10-18,51.00,51.00,50.00,51.00,10700,51.00
2016-10-17,51.00,51.00,50.00,50.00,34000,50.00
2016-10-14,51.00,51.00,50.00,50.00,13100,50.00
2016-10-13,51.00,51.00,50.00,51.00,7000,51.00
2016-10-12,51.00,51.00,50.00,51.00,30700,51.00
2016-10-11,50.00,51.00,50.00,50.00,82100,50.00
2016-10-10,50.00,50.00,50.00,50.00,1000,50.00
2016-10-07,50.00,50.00,50.00,50.00,2100,50.00
2016-10-06,50.00,50.00,50.00,50.00,1000,50.00
2016-10-05,50.00,50.00,50.00,50.00,25400,50.00
2016-10-04,50.00,50.00,50.00,50.00,100,50.00
2016-10-03,50.00,50.00,50.00,50.00,10000,50.00
2016-09-30,50.00,50.00,50.00,50.00,000,50.00
2016-09-29,50.00,50.00,50.00,50.00,300,50.00
2016-09-28,50.00,50.00,50.00,50.00,100,50.00
2016-09-27,50.00,50.00,50.00,50.00,200,50.00
2016-09-26,50.00,50.00,50.00,50.00,6000,50.00
2016-09-23,50.00,50.00,50.00,50.00,5900,50.00
2016-09-22,50.00,50.00,50.00,50.00,13100,50.00
2016-09-21,50.00,50.00,50.00,50.00,3700,50.00
2016-09-20,50.00,50.00,50.00,50.00,25300,50.00
2016-09-19,50.00,50.00,50.00,50.00,4800,50.00
2016-09-16,50.00,51.00,50.00,50.00,1000,50.00
2016-09-15,51.00,51.00,50.00,50.00,14100,50.00
2016-09-14,51.00,51.00,50.00,51.00,31700,51.00
2016-09-13,50.00,50.00,50.00,50.00,100,50.00
2016-09-12,50.00,50.00,50.00,50.00,000,50.00
2016-09-09,50.00,50.00,50.00,50.00,26200,50.00
2016-09-08,50.00,51.00,50.00,50.00,17400,50.00
2016-09-07,50.00,50.00,50.00,50.00,50000,50.00
2016-09-06,51.00,51.00,50.00,51.00,6100,51.00
2016-09-05,50.00,51.00,50.00,51.00,4200,51.00
2016-09-02,50.00,51.00,50.00,51.00,55200,51.00
2016-09-01,50.00,51.00,50.00,51.00,133300,51.00
2016-08-31,51.00,51.00,50.00,50.00,96400,50.00
2016-08-30,51.00,51.00,50.00,51.00,64300,51.00
2016-08-29,50.00,51.00,50.00,51.00,72700,51.00
2016-08-26,50.00,52.00,50.00,51.00,731300,51.00
2016-08-25,51.00,51.00,50.00,51.00,17600,51.00
2016-08-24,50.00,51.00,50.00,51.00,139000,51.00
2016-08-23,50.00,51.00,50.00,51.00,253800,51.00
2016-08-22,51.00,51.00,50.00,51.00,81600,51.00
2016-08-19,50.00,51.00,50.00,50.00,16600,50.00
2016-08-18,51.00,51.00,50.00,50.00,358500,50.00
2016-08-17,51.00,51.00,51.00,51.00,000,51.00
2016-08-16,50.00,51.00,50.00,51.00,201200,51.00
2016-08-15,51.00,51.00,50.00,50.00,79600,50.00
2016-08-12,51.00,51.00,50.00,51.00,30800,51.00
2016-08-11,51.00,51.00,50.00,51.00,30500,51.00
2016-08-10,51.00,51.00,50.00,51.00,142000,51.00
2016-08-09,51.00,51.00,50.00,50.00,311400,50.00
2016-08-08,50.00,51.00,50.00,51.00,75000,51.00
2016-08-05,50.00,51.00,50.00,50.00,55900,50.00
2016-08-04,50.00,51.00,50.00,50.00,2800,50.00
2016-08-03,51.00,52.00,50.00,50.00,344900,50.00
2016-08-02,50.00,53.00,50.00,51.00,409000,51.00
2016-08-01,50.00,52.00,50.00,50.00,207200,50.00
2016-07-29,50.00,50.00,50.00,50.00,3500,50.00
2016-07-28,50.00,50.00,50.00,50.00,7200,50.00
2016-07-27,50.00,50.00,50.00,50.00,1800,50.00
2016-07-26,50.00,50.00,50.00,50.00,1000,50.00
2016-07-25,50.00,50.00,50.00,50.00,400,50.00
2016-07-22,50.00,50.00,50.00,50.00,200,50.00
2016-07-21,50.00,50.00,50.00,50.00,600,50.00
2016-07-20,50.00,50.00,50.00,50.00,2400,50.00
2016-07-19,50.00,50.00,50.00,50.00,400,50.00
2016-07-18,50.00,50.00,50.00,50.00,14300,50.00
2016-07-15,50.00,50.00,50.00,50.00,2000,50.00
2016-07-14,50.00,50.00,50.00,50.00,700,50.00
2016-07-13,50.00,50.00,50.00,50.00,13000,50.00
2016-07-12,50.00,50.00,50.00,50.00,2000,50.00
2016-07-11,50.00,50.00,50.00,50.00,91400,50.00
2016-07-08,50.00,50.00,50.00,50.00,000,50.00
2016-07-07,50.00,50.00,50.00,50.00,000,50.00
2016-07-06,50.00,50.00,50.00,50.00,000,50.00
2016-07-05,50.00,50.00,50.00,50.00,000,50.00
2016-07-04,50.00,50.00,50.00,50.00,000,50.00
2016-07-01,50.00,50.00,50.00,50.00,500,50.00
2016-06-30,50.00,50.00,50.00,50.00,000,50.00
2016-06-28,50.00,50.00,50.00,50.00,000,50.00
2016-06-27,50.00,50.00,50.00,50.00,200,50.00
2016-06-24,50.00,50.00,50.00,50.00,000,50.00
2016-06-23,50.00,50.00,50.00,50.00,000,50.00
2016-06-22,50.00,50.00,50.00,50.00,10000,50.00
2016-06-21,50.00,50.00,50.00,50.00,000,50.00
2016-06-20,50.00,50.00,50.00,50.00,000,50.00
2016-06-17,50.00,50.00,50.00,50.00,000,50.00
2016-06-16,50.00,50.00,50.00,50.00,000,50.00
2016-06-15,50.00,50.00,50.00,50.00,103000,50.00
2016-06-14,50.00,50.00,50.00,50.00,000,50.00
2016-06-13,50.00,50.00,50.00,50.00,200,50.00
2016-06-10,50.00,50.00,50.00,50.00,000,50.00
2016-06-09,50.00,50.00,50.00,50.00,000,50.00
2016-06-08,50.00,50.00,50.00,50.00,000,50.00
2016-06-07,50.00,50.00,50.00,50.00,000,50.00
2016-06-06,50.00,50.00,50.00,50.00,000,50.00
2016-06-03,50.00,50.00,50.00,50.00,1100,50.00
2016-06-02,50.00,50.00,50.00,50.00,100,50.00
2016-06-01,50.00,50.00,50.00,50.00,225000,50.00
2016-05-31,50.00,50.00,50.00,50.00,000,50.00
2016-05-30,50.00,50.00,50.00,50.00,100,50.00
2016-05-27,51.00,51.00,50.00,50.00,5100,50.00
2016-05-26,50.00,51.00,50.00,50.00,1100,50.00
2016-05-25,50.00,50.00,50.00,50.00,000,50.00
2016-05-24,50.00,50.00,50.00,50.00,100,50.00
2016-05-23,51.00,51.00,51.00,51.00,500,51.00
2016-05-20,51.00,51.00,50.00,51.00,500,51.00
2016-05-19,51.00,51.00,51.00,51.00,000,51.00
2016-05-18,50.00,51.00,50.00,51.00,2100,51.00
2016-05-17,50.00,50.00,50.00,50.00,800,50.00
2016-05-16,51.00,51.00,51.00,51.00,000,51.00
2016-05-13,51.00,51.00,51.00,51.00,000,51.00
2016-05-12,51.00,51.00,51.00,51.00,000,51.00
2016-05-11,51.00,51.00,51.00,51.00,000,51.00
2016-05-10,51.00,51.00,51.00,51.00,000,51.00
2016-05-09,51.00,51.00,51.00,51.00,000,51.00
2016-05-06,51.00,51.00,51.00,51.00,000,51.00
2016-05-05,51.00,51.00,51.00,51.00,000,51.00
2016-05-04,51.00,51.00,51.00,51.00,1100,51.00
2016-05-03,50.00,51.00,50.00,51.00,3600,51.00
2016-05-02,51.00,51.00,50.00,50.00,424800,50.00
2016-04-29,50.00,51.00,50.00,51.00,2100,51.00
2016-04-28,50.00,50.00,50.00,50.00,000,50.00
2016-04-27,50.00,50.00,50.00,50.00,000,50.00
2016-04-26,50.00,50.00,50.00,50.00,000,50.00
2016-04-25,50.00,50.00,50.00,50.00,000,50.00
2016-04-22,50.00,50.00,50.00,50.00,100,50.00
2016-04-21,50.00,50.00,50.00,50.00,000,50.00
2016-04-12,50.00,50.00,50.00,50.00,300,50.00
2016-04-08,50.00,50.00,50.00,50.00,1100,50.00
2016-04-07,50.00,51.00,50.00,50.00,10600,50.00
2016-04-06,50.00,50.00,50.00,50.00,50000,50.00
2016-04-05,50.00,52.00,50.00,50.00,105900,50.00
2016-04-04,50.00,50.00,50.00,50.00,100,50.00
2016-04-01,50.00,50.00,50.00,50.00,10000,50.00
2016-03-31,50.00,50.00,50.00,50.00,000,50.00
2016-03-30,50.00,50.00,50.00,50.00,10100,50.00
2016-03-29,50.00,50.00,50.00,50.00,100,50.00
2016-03-28,50.00,50.00,50.00,50.00,100,50.00
